Title,URL,Address,Compensation,Employment Type,Description
Architectural Job Captain,https://newyork.craigslist.org/mnh/egr/d/new-york-architectural-job-captain/6972897008.html,Midtown West,Competitive Salary - DOE,full-time,"
        
SBLM New York office looks for a highly motivated Job Captain who is a team player with excellent REVIT skills. Ideal candidate will be a well-organized, detail-oriented individual who is accustomed to working on and leading the production of multiple projects. 

Responsibilities include, but not limited to: 
Coordinate and develop construction documents
Take on technically challenging issues with Project Manager
Perform code and zoning analyses
Review and redline drawings
Oversee drafters, as required by the project
Produce deliverables without requiring constant supervision
Coordinate meetings with consultants
Organize and lead site visits and surveys
Conduct material research and meet with vendor as necessary, to understand
materials and products
Take initiative to complete work

Requirements:
Bachelor’s Degree in Architecture
3+ years’ experience in an Architect’s office working on Commercial/Retail projects
Must be proficient in Revit and other applicable industry software is a must
General understanding of codes and zoning
General knowledge of building details and construction process
Positive attitude and driven to succeed

Compensation and Benefits:
•	We offer a competitive salary and benefits package commensurate with the level of experience and a creative and innovative work environment.
•	Our benefit package includes Medical/Dental/Vision insurance, 401k Retirement Plan, Flexible Spending, Paid Time Off, Holidays and much more.
•	Our company culture features professional learning and growth opportunities, rewarding project types to participate in and free ongoing professional educational programs.

Interested candidates should forward their cover letter and resume 
Please include Job Captain in the subject. No phone calls, please. 

    "
Facade / Building Envelope Structural Engineer,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-structural/6973066671.html,TriBeCa,Commensurate with experience,full-time,"
        
 
 , New York City's leading professional firm dedicated to the preservation of buildings and infrastructure, is seeking a resourceful, skilled structural engineer with 5 to 6 years of building envelope restoration experience if licensed, and 7 to 10 years' experience if not licensed, to join us in executing a growing slate of challenging projects. 

We work on an array of building types, including courthouses, schools, universities, churches, and hospitals, and many of New York's most storied landmarks, from Trinity Church to Grand Central Terminal. Our work embraces all components of the building envelope and underlying structure—facades, roofs, windows, and plazas—and the full complement of materials, from historic terra-cotta to high-performance curtain walls. We’re proud to be an industry leader in crucial practice areas like Local Law 11 inspections and repairs. We've won numerous awards, as well as the loyalty of many of the premier public, corporate, and residential clients in the region. 

You’ll work as part of a small team assigned to projects based on synergies between project requirements and the capabilities of each team member. This arrangement offers employees the dual advantages of a small office experience coupled with access to the centralized resources of a larger firm. You'll be supported by some of the most sophisticated technology in the profession, including proprietary computer systems and applications, advanced photography and image processing, and state-of-the-art, non-destructive diagnostic equipment and techniques. 

Typically, you’ll participate in all phases of a project from inception through completion: proposal, investigation, construction documents, bid negotiation, and construction administration. You'll have the opportunity to see your designs executed in the field and you'll take on greater responsibility and client management as soon as you are ready. 

We offer an array of benefits and growth opportunities: :


Our light-filled Tribeca office is in a landmarked building with 16' high ceilings, 8' tall windows, and stunning views of Manhattan in three directions—not a bad place to spend the work day. We’re easily accessible via public transportation: the A, C, and E Canal Street station connects directly to our building’s lobby. The N, R, 1, and 6 lines are all just a few blocks away. 

If you’re excited about this opportunity, please send us your resume, a cover letter with salary requirements, and a few pages of attachments (maximum of 10MB, please) or link to your portfolio that demonstrates your experience and capabilities. 

With thanks for your interest, please note that only those candidates under consideration will be contacted. 

For additional information on our firm’s services, approach, and projects, visit 
    "
Facade / Building Envelope Architect,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-architect/6973067281.html,TriBeCa,Commensurate with experience,full-time,"
        
 
 , New York City's leading professional firm dedicated to the preservation of buildings and infrastructure, is seeking a resourceful, skilled architect with 2 to 5 years of building envelope restoration experience to join us in executing a growing slate of challenging projects. 

We work on an array of building types, including courthouses, schools, universities, churches, and hospitals, and many of New York's most storied landmarks, from Trinity Church to Grand Central Terminal. Our work embraces all components of the building envelope and underlying structure—facades, roofs, windows, and plazas—and the full complement of materials, from historic terra-cotta to high-performance curtain walls. We’re proud to be an industry leader in crucial practice areas like Local Law 11 inspections and repairs. We've won numerous awards, as well as the loyalty of many of the premier public, corporate, and residential clients in the region. 

You’ll work as part of a small team assigned to projects based on synergies between project requirements and the capabilities of each team member. This arrangement offers employees the dual advantages of a small office experience coupled with access to the centralized resources of a larger firm. You'll be supported by some of the most sophisticated technology in the profession, including proprietary computer systems and applications, advanced photography and image processing, and state-of-the-art, non-destructive diagnostic equipment and techniques. 

Typically, you’ll participate in all phases of a project from inception through completion: proposal, investigation, construction documents, bid negotiation, and construction administration. You'll have the opportunity to see your designs executed in the field and you'll take on greater responsibility and client management as soon as you are ready. 

We offer an array of benefits and growth opportunities: :


Our light-filled Tribeca office is in a landmarked building with 16' high ceilings, 8' tall windows, and stunning views of Manhattan in three directions—not a bad place to spend the work day. We’re easily accessible via public transportation: the A, C, and E Canal Street station connects directly to our building’s lobby. The N, R, 1, and 6 lines are all just a few blocks away. 

If you’re excited about this opportunity, please send us your resume, a cover letter with salary requirements, and a few pages of attachments (maximum of 10MB, please) or link to your portfolio that demonstrates your experience and capabilities. 

With thanks for your interest, please note that only those candidates under consideration will be contacted. 

For additional information on our firm’s services, approach, and projects, visit 
    "
Steel Detailer,https://newyork.craigslist.org/brk/egr/d/steel-detailer/6973397500.html,Queens,pay based on experience,full-time,"
        
Structural Steel and Miscellaneous Iron Fabricator is seeking a experienced in house steel detailer. 

Must be proficient with 3-d modeling programs such as TEKLA,and/or ADVANCE STEEL. 

We offer a highly competitive salary with year end bonus.

If you are interested in working for a growing, aggressive company, e-mail your resume with salary requirements    "
Construction Estimator,https://newyork.craigslist.org/que/egr/d/long-island-city-construction-estimator/6973417789.html,New York City,Salary commensurate with experience,full-time,"
        
AIK Renovations is a fast growing commercial and residential construction company in the metropolitan New York area. We are actively seeking experienced Estimators for employment in our Long Island City office .

-Candidates must have experience estimating construction projects in the local area.

Other Requirements Include:

-Knowledge of the construction industry (both residential and commercial), with a focus on interior renovation work.

-Must be able to multitask and effectively manage multiple projects simultaneously.

-Excellent written and verbal communication skills and meticulous attention to detail are requirements.

-Must be able to work independently and as part of a dynamic team.

-Be able to review and perform full breakdowns of construction drawings, specifications and bid forms. Gather all material quotes and or sub-contractor quotes necessary to construct cost estimates.

-Ability to create project schedules/timelines.

-Develop the scope of work for sub-contractors and assist in the buy-out procedures.

-Complete understanding of subcontracting and procurement strategies.

-Must have several years of successful experience in the field to be hired.


About AIK Renovations:
AIK is a leading commercial and residential contractor based in New York City. Incorporating the highest quality materials and state-of-the-art construction techniques in conjunction with superior project coordination and construction supervision, AIK strives to surpass our clients’ expectations while delivering unique projects on time and within budget.    "
Junior and Intern Architect,https://newyork.craigslist.org/wch/egr/d/harrison-junior-and-intern-architect/6974014420.html,Harrison,Salary will be directly related to ability and performance.,full-time,"
        
Junior and Intern Level Architect
Harrison, New York 
Small Architectural firm seeking to fill positions for full-time and part time Junior Architect / Intern. Work directly under licensed professional. Contribute to residential, commercial, and industrial projects. The right candidate should be hard working willing to learn the field of architecture, and reliant.  Great experience for candidate who is working toward or possess a bachelor in Architecture with some prior experience. The office is in Harrison NY four blocks from train station.

We seek motivated, bright, and responsible individuals with:
• Strong communications skills
• Working towards or possess a bachelor degree in Architecture
• Detail oriented and organized
• Ability to work independently
• Willing to learn
• Skilled in Collaboration and able to take Direction from the Team
Software Requirements: 
• AutoCAD 2014 a must
• Sketchup
• Microsoft Office
• Photoshop a plus

Interested candidates should e-mail a cover letter, work examples and resume. Resumes must include a phone number and the city/town of residence. 
Compensation: Salary will be directly related to ability and performance. 
Employment type: Full-time & Part-time

    "
Assistant CM/ Estimator/ Admin for Developer/ CM,https://newyork.craigslist.org/mnh/egr/d/new-york-assistant-cm-estimator-admin/6974234174.html,Upper East Side,TBD,full-time,"
        
CM/ Developer in better Condo, Townhouse and Commercial work seeks experienced Administrator with strong background and abilities in both Estimating and Administration.

Responsibilities are varied and include

•	Budgets and Estimating
 o	]Outline and Schedule Estimating requirements for On Time Delivery.
 o	Set up Excel Workbooks with Trade Pages and Summary for CSI Estimates and Developer Budgets.
 o	Organize and Distribute Bid Packages to Contractors and Vendors and Follow-up.
 o	Takeoffs for Carpentry, Millwork, Finishes and other Trades
 o	Generate Tender Reports for Lender Compliance.
 o	Assemble information from various sources including Consulting Estimators, Trade Vendors and Self.

Administrative

 o	Maintain Site Reports in conjunction with Foremen and Site Superintendents
 o	Attend Site Meetings and Distribute Meeting Minutes.
 o	G703 Payment Applications for Trade Contractors
 o	Contractors Progress Reports
 o	Lender Reports and associated documentation and Photo Presentations
 o	Track and Facilitate Sign Offs

General Skills

 o	Must Write and Speak well.
 o	High proficiency in Excel
 o     Proficiency in Microsoft Project, Smartsheet or similar Excel Based Scheduling Programs.
 o	Minimum 10 years’ experience or 5 Years plus related Education.

Please respond with Resume, availability and Salary Requirements. If you list your Salary Requirements as “Negotiable” we will not respond.

Immediate
    "
3 Junior Engineers,https://newyork.craigslist.org/fct/egr/d/dover-afb-3-junior-engineers/6974526705.html,"Air Force Base in Dover, Delaware",To be discussed with the Hiring Manager,contract,"
        
Planate Management Group is a Service-Disabled Veteran-Owned Small Business (SDVOSB) headquartered in Alexandria, Virginia, USA with a technical support center in the Philippines that provides program management and facilities engineering services worldwide. Planate is a small business provider of planning, design, infrastructure management, technical consulting, engineering, and construction management services in support of the US Department of Defense (DOD) and its Service missions (Army, Air Force, Navy, Marine Corps), along with other US federal agencies.

The Junior Engineers will be responsible for assisting the squadron with several construction/repair projects which consist all aspects of engineering works to support the Air Force Base in Dover, Delaware. 

This position is contingent on the award of the contract. Contract duration will be one year plus two option years.

Key responsibilities:
•	Performs planning and design work for substantial multi-phase new construction, renovation, and improvement projects for a variety of real property facilities, including utility systems, utilizing a professional knowledge of (electrical/ Mechanical/ Civil) engineering. Orchestrates the planning, design, cost estimating and phased scheduling of assigned projects including completion of required project forms and economic analyses
•	 Serves as consulting engineer on all design aspects of assigned projects but specifically knowledgeable and qualified to review and approve engineering details of projects.
•	Coordinates the preparation of and reviews statements of work (SOW)
•	Reviews Design-Build and Design-Bid-Build packages and works with contracting personnel as a technical expert to negotiate Government construction contracts
•	Coordinates projects with engineers in other disciplines or with architects
•	Keeps abreast of emerging technologies to ensure programmed development will not prematurely become obsolete
•	Complies with health, safety, and environmental rules and procedures and performs work in a manner that enhances safety of the work environment
•	Performs other responsibilities associated with this position as may be appropriate.

Qualifications to be successful in the role:

•	Required personnel:  Degree in (1) Electrical Engineer (1) Civil Engineer (1) Mechanical Engineer 
•	Engineering Degree OR minimum of two (2) years work experience in respective discipline
•	Able to perform tasks in a team environment
•	Proficient with Microsoft Office products and able to adapt to other software used to manage and track assigned projects 
•	Proficient in English both written and oral
•	Must be US Citizen.

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex or national origin.
    "
Asst Project Designer / Office Manager,https://newyork.craigslist.org/mnh/egr/d/new-york-city-asst-project-designer/6974543245.html,Upper East Side,Base Salary 55-65k plus overall package,full-time,"
        
***Our apologies, but the responses that we recieved over the last few weeks were deleted in error.  If you have previously applied, please feel free to resend your information and thank you!


Assistant Project Designer / Office Manager at The Renovated Home., which is located at our showroom at 401 East 76th Street, New York, NY 10021.

Position Duties:
• Manage all facets of the operations of the office and design studio. Inventory management, supplies, etc. 
• Fully involved in all facets of projects underway, coordination with the project designers on staffing and subcontractor
on upcoming projects.
• Handle and coordinate all facets of service work for past clients through completion.
• Involvement on scheduling throughout the trades and vendors on all ongoing projects.
• Monitor, organize, shadow and follow up on all emails sent to Our presidents TRH mailbox.
• Continually oversee the vendors and add contractors and sourcing to our team as appropriate and available.
• Liaison with clients as needed.
• Tracking / Scheduling / and coordinating site meetings throughout the project process as well as management of the
project



Please send resume and any pertinent information that might give us a sense of what makes you the ROCKSTAR we are looking for! 

    "
Seeking Junior to Intermediate Architect” / Architectural Designer,https://newyork.craigslist.org/brk/egr/d/brooklyn-seeking-junior-to-intermediate/6976711289.html,"Brooklyn, NY",Commensurate with experience,full-time,"
        
Seeking Junior to Intermediate Architect” / Architectural Designer

NA Design Studio is a small and dynamic design firm based in Brooklyn working on a wide range of high end projects including multi-family residential, offices and institutional buildings. We take pride in our designs and collaborate in an energetic studio environment and incorporate a systematic, yet open minded approach with all of our projects. 

We are seeking a full time “Junior to intermediate architect” that has extreme passion for both the design and technical aspects of Architecture to work closely with project leadership and design team in an energetic collaborative environment. This team position offers great opportunities with long term growth potential, working directly with the principal on projects from design to construction with responsibilities to include: 

Responsibilities:

Develop projects from schematic-design, design development, construction documents to construction coordination
Develop design concepts, sketches, layouts and design presentations
Manage workflow of projects, organize and maintain records. 
Develop construction documents from design drawings and under supervision of senior staff
Research, analyze and implement zoning and building code requirements
Coordinate and develop details based on construction documents
Coordinate throughout the DOB plan examination process to coordinate approvals.
Construction site visits to review progress as well as to create as-built plans and drawings.

Qualifications:

Architectural degree required (B. Arch or M. Arch)
Good understanding of construction documents is a must, with a minimum of 4 years of construction document development and coordination experience.
Highly proficient in AutoCAD and in computers in general. Architectural desktop experience a plus, and other industry accepted software also desired
Excellent communication skills, verbally and in writing is a must, with ability to communicate with clients, contractors and consultants.
Must be reliable, extremely organized, resourceful, self motivated and able to work in groups or independently, with ability to multi-task and meet deadlines. 
Understanding of building construction, zoning and building code 
3D modeling and rendering, photoshop and graphic presentations skills a plus


Thanks in advance to those who apply for taking the time to share your work with us.
    "
Junior & Intermediate Architectural Designers,https://newyork.craigslist.org/mnh/egr/d/junior-intermediate-architectural/6977100182.html,Midtown,Commensurate with Experience,full-time,"
        
KGA is a small, twenty-nine year old firm based in Chelsea with a wide array of projects, including commercial, institutional, multi-family residential, single-family residential, and temporary installations. Employees experience all aspects of design, from Schematics through Construction Administration.

Kossar + Garry Architects, LLP (KGA), is looking for a talented and creative individual to fill two Architectural Designer positions:
(1) 1-2 years of U.S. experience.
(1) 3 years and above of U.S. experience.

Requirements:
- Minimum Bachelors of Architecture.  Only applicants with Bachelors of Architecture will be considered.
- Professional Revit Experience.
- Strong graphic skills required, including expertise in AutoCAD, Revit, Rhino, Adobe Creative Suite, and 3D modeling software.
- Ability to communicate fluently in English, verbally and in writing, with clients, consultants and contractors, is essential.
- Strong multi-tasking and organizational skills are required.
- Word and Excel familiarity is a plus.
- Familiarity with NYC Zoning and Building Codes is a plus.

Please send your resume and work samples in PDF format, max of 5mb.
Include SALARY requirement on your cover letter.

    "
CAD Operator / Drafter,https://newyork.craigslist.org/que/egr/d/long-island-city-cad-operator-drafter/6977338799.html,Long Island City,Salary based on experience,full-time,"
        
Structural engineering firm in Long Island City, Queens has an immediate opening for a full-time AutoCAD draftsperson.

This is NOT a telecommuting position. You must be able to come to work at our office in LIC and you must be authorized to work in the U.S. Please do not apply if you are not within commuting distance. 

Requirements:
• 4+ years in AutoCAD experience
• Must have working experience in engineering/architectural drafting
• Must be able to generate plans and sections

Duties and Responsibilities:
• Create detailed, accurate construction documents for structural engineering projects (commercial and residential)
• Work with principal engineer to make corrections to the drawings under tight deadlines

Excellent communication skills are a must.

To apply, please send resume in PDF format and email your salary requirements.
    "
AUTO CAD / CONSTRUCTION ESTIMATOR,https://newyork.craigslist.org/wch/egr/d/mount-vernon-auto-cad-construction/6977658484.html,Mount Vernon,Based on Experience,full-time,"
        
Midsize Construction Company seeking an Auto CAD / Construction Estimator to assist the estimating department for commercial high end projects. The estimator should have already gained 2-3 years' experience for evaluating bid specifications and drawings, ensuring that we have all necessary documents required to successfully bid the project. Estimators will also work with the Project Management teams to follow up on bids and budgets.

CAD Operator/Construction Estimator exceptional capabilities to manage our key accounts and interface with suppliers, Engineers, Architects and End Users. Individual must possess exceptional communication skills, have high output and be able to multi-task in an extremely daily fast pace operation. Candidate must know AutoCAD and be proficient at reading exhaust shop drawings, NYC Building Department Codes and Practice: Energy Code, Zoning, and Building Code, Construction Document experience: Exhaust, electrical and plumbing.

We are a medium size construction firm with a wide range of projects, from finely crafted small-scale interior / exterior exhaust systems to new construction.  Self-directed individuals will find the position an exciting opportunity to grow and learn within a collaborative business environment.  

Only candidates meeting all qualifications will be considered.

Requirements and responsibilities includes, but are not limited to:
-Minimum 2-3 years' experience for commercial bids
-Must be able to utilize AutoCAD
-Ability to read and analyze plans and specifications in full detail
-Prepare bid packages and meet deadlines
-Prepare and maintain status of plan reproduction
-Review bid requirements thoroughly
-Knowledge of MS Office and Adobe software
-Positive, thorough, and proactive communication a must as there will be constant interaction with Clients, architects, and subcontractors
    "
Estimator for city projects,https://newyork.craigslist.org/brx/egr/d/bronx-estimator-for-city-projects/6977770166.html,Bronx New York,paid per project,full-time,"
        
RMZ CONTRACTING company is seeking senior and junior estimators to join our family. Compensation commensurate with experience. Below are some of the skills required; although character, willingness to learn and work hard will be considered.
• Review construction drawings & specifications, conduct field visits and gather all material and data necessary to determine scope of work and organize a construction cost estimate.
• Prepare detailed cost estimates for residential, commercial and institutional projects, utilizing Sage Timberline Estimating software.
• Prepare and organize material takeoffs utilizing On-Screen Take Off (OST) software for accuracy and seamless transition to Project Management Team.
• Ability to create project schedules/timelines utilizing MS Project software.
• Establish job costs through analysis of vendors/sub-contractor quotations for material/services.
• Develop the scope of work for sub-contractors and assist account executive in preparation of buy-out package.
• Maintain digital file of working documents as back-up for estimating database, including quotations and notes.

Desired Skills And Experience

MUST
• Strong understanding of the NYC Construction environment as applied to urban exterior restoration and general knowledge of the estimating process, including blueprint and specification reading, as well as material and labor costs.
• Proficiency in rigging requirements and experience in exterior masonry, roofing, flatwork/garage and historic preservation.
• Outstanding organizational skills. Must possess a structured, logical, and methodical approach to problem solving. Must be able to meet deadlines and manage time effectively.
• Excellent communication and interpersonal skills.
• Must be able to effectively work with production team, from Project Managers to office staff to sub-contractors. Must be effective in directing and supporting the work of others.
• Outstanding attention to detail. Ability to effectively recognize issues and discrepancies in bid documentation.
PLUS

Knowledge of MS Project, On-Screen Take Off, SAGE Timberline Estimating Extended and AutoCAD software.
• Bachelor's degree in architecture, engineering or related discipline, or equivalent combination of technical training and experience.
• At least five (5) years' experience in New york city projects Construction Estimating with a proven track record of accuracy, efficiency, and profitability.
    "
Drafters for direct hire position - Bilingual Russian,https://newyork.craigslist.org/brk/egr/d/drafters-for-direct-hire-position/6977890471.html,,Based on experience.,full-time,"
        
Position available now. We are seeking a draftsperson/project manager to work full-time in the office located in Brooklyn, preferably bilingual, (Russian).
Manage project quality by providing ideas and suggestions aimed at improving effectiveness of the project/department. Strong understanding of the NYC Building Codes is crucial, however, we provide training. It is a fast-paced office, and we expect the employees to have knowledge and understanding of the processes involved in getting a project approved. Able to work efficiently in tight deadlines, ever-changing team-oriented environment. Must be able to communicate effectively both orally and in writing with team members and outside professionals while proactively communicating with the Project Manager to obtain needed information to continue progress on plans. Site visits may be required depending on the projects.
Experience with renderings (particularly 3D Max) is a plus. However training will be provided. Salary based on skill and experience. 
Please include resume and portfolio/samples that reflect your creativity.
    "
Structural engineer position available.,https://newyork.craigslist.org/brk/egr/d/brooklyn-structural-engineer-position/6977893247.html,,Based on Experience,full-time,"
        
Structural engineer position available.
Architectural Consulting Company is looking for a full time structural engineer which will work with planning and development of structural drawings, specifications for new and renovation of existing facilities, perform site visits, assisting a senior staff member in the completion of day to day projects. Strong understanding of NYC Building code is required however training will be provided. It is a fast-paced office, and we expect the employees to have knowledge and understanding of the processes involved in getting a project approved. 
Please include resume and portfolio.
    "
Estimator,https://newyork.craigslist.org/que/egr/d/estimator/6977952038.html,Long Island City,TBD,full-time,"
        
Prime Architectural Woodworking Company in NYC looking for an experienced, ambitious, positive and long term oriented individual.
Requirements:
Excellent knowledge of wood technology and materials. Ability to independently work on large commercial and residential projects. High work ethic and self motivation. Very good people skills.
Excellent working conditions, atmosphere, pay and benefits.
Please email your resume, references and salary requirements.
Only candidates from woodworking industry please apply.    "
"Draftsman, Assistant Project Manager",https://newyork.craigslist.org/que/egr/d/draftsman-assistant-project-manager/6977950839.html,Long Island City,TBD,full-time,"
        
A reputable Architectural Woodworking Company is looking for a full time draftsman/assistant project manager position. Only solid, professional and long term oriented please apply. This position requires excellent knowledge of AUTOCAD. Only experienced in the field apply. Please email your resume, references and salary expectations    "
Project Manager,https://newyork.craigslist.org/que/egr/d/project-manager/6977953378.html,Long Island City,TBD,full-time,"
        
Prime Architectural Woodworking Company in NYC looking for an ambitious, positive and long term oriented individual with a minimum 4 years experience as a Project Manager in an Architectural Woodworking Company.
Requirements: Excellent knowledge of technology and materials, work under pressure and high managerial skills. Ability to independently work on large commercial and residential projects. High work ethic and self motivation. Very good people skills. 
Please email your resume, references and salary expectations.    "
ELECTRICAL ENGINEER,https://newyork.craigslist.org/mnh/egr/d/new-york-electrical-engineer/6977996674.html,Midtown,"$120,000-130,000",full-time,"
        
ELECTRICAL ENGINEER with BSEE and 5 + years experience
in commercial, residential or healthcare projects. 
Permanent. Full time. Excellent benefits.

HANK DEVITO

Email: Hank11214@hotmail.com
Tel: Juliana at 718-449-5745    "
Construction engineers,https://newyork.craigslist.org/fct/egr/d/ridgefield-construction-engineers/6978388472.html,CT and New York,Compensation will vary by project,part-time,"
        
Engineer required to review construction plans for various restaurant fit outs. After review of CAD plans, stamp for submission to city building departments in Connecticut and New York    "
Junior Draftsman/Architect with Purchasing Experience,https://newyork.craigslist.org/mnh/egr/d/new-york-junior-draftsman-architect/6979195080.html,Midtown West,Commensurate with experience,full-time,"
        
Commercial and residential construction company based in Manhattan seeks Junior Draftsman/Architect with purchasing experience. Excellent opportunity to gain knowledge of and practical experience in the construction industry.  Strong potential for advancement and additional responsibilities based on performance.

Responsibilities, Qualifications and Required Skills: 
•	Read, interpret and prepare architectural and woodworking drawings.
•	Candidate must have strong knowledge of AutoCAD or other architectural software.
•	Candidate must be able to produce quality shop drawings for commercial and residential project.
•	Source materials and contractors for each project.
•	Develop network of multiple material vendors and service contractors to facilitate timely construction and the highest quality standards, and to ensure costs remain within budget.
•	Negotiate pricing and delivery schedules with vendors. Expedite deliveries when necessary.
•	Knowledge and experience working with construction material vendors in NYC, a big plus.
•	Must be comfortable working in a high-pressured environment.
•	Must be self-motivated and take initiative without instructions
•	Energetic and dynamic personality a big plus 

    "
Draftsman/junior estimator - Architectural  Metals,https://newyork.craigslist.org/brk/egr/d/brooklyn-draftsman-junior-estimator/6979397365.html,Brooklyn,Compensation based on experience plus commission,full-time,"
        
Established Architectural Metal Fabricator located in South Brooklyn is seeking a highly motivated person to join our team. The successful candidate will have a minimum of 5 years' experience in drafting and assembling shop drawings. The position will require estimating projects with understanding of how to evaluate specifications and drawings, identify requirements, obtain quotes from vendors and subcontractors, calculate quantities and prepare offers that win contracts and return profits.

RESPONSIBILITIES:
•	Analyze blueprints and contract documents to prepare labor & material estimates.
•	Consult with clients, vendors, and management to discuss estimates and resolve issues.
•	Prepare estimates for use in selecting vendors or subcontractors.
•	Prepare estimates for bids, quotes as well as planning, organizing and scheduling work.
•	Maintain a directory of suppliers, contractors and subcontractors.
•	Follow up with clients and maintain relationships

REQUIREMENTS:
•	Strong math and analytical skills as well as an eye for details.
•	Must be able to read and understand Contract Documents and Blueprints.
•	Must be proficient in the use of computers, MS Excel/Word. Auto CAD experience a plus.
•	Strong communication and interpersonal skills.
•	Experienced in working independently and in a team.
•	Ability to effectively prioritize and execute tasks.
•	Must be able to learn, understand and apply new rules and regulations.
•	Must be able to meet deadlines.
•	Job may require field, vendor and client visits.

Sales experience is a plus, can easily qualify for commissions and bonuses.
    "
CIVIL ENGINEERS & Surveyors - All Levels,https://newyork.craigslist.org/mnh/egr/d/new-york-city-civil-engineers-surveyors/6979440305.html,Midtown,"Dependent on experience level; Full time with benefits, healthcare, 401k",full-time,"
        
  
     
  

We have positions for: Civil CAD Designer, Civil Project Engineer, Licensed Civil Engineer, Civil Project Manager, Structural Engineer and Land Surveyor   

Positions open for types of project disciplines: Land Development / Site Development, Transportation Engineering, Water Resources, Structural Engineering and Land Surveying   

For CONFIDENTIAL CONSIDERATION: 
Email your resume to: jobs@trabucogroup.com 
 
For full list of Engineering positions, visit us at: 



 KEYWORDS: civil engineering, site development, land development, grading, drainage, storwmwater, SWPPP, paving, striping, traffic control, transportation, signal, signage, railway, highway design, roadway, water, wastewater, hydrology, hydraulics, earthwork, utility design, water resources, wastewater, Autocad, Civil 3D,  REVIT, StaadPro, Microstation, inroads, ArcGIS, surveying, topos, geotechnical, geotech, GIS, structural, ASCE, EIT, PE, TE, survey, surveying, topos, boundaries, ALTA maps, legal description and plats, Appraisal Maps, Records of Survey, topography, photogrammetry, boundary surveys, construction staking, topcon, leica, carlson subdivision mapping, total station, PLS, RPLS, LSIT, SIT
    "
◄◄  SKETCHUP 2018 PROFESSIONAL AVAILABLE FOR YOUR PROJECT (Free Lance),https://newyork.craigslist.org/que/egr/d/astoria-sketchup-2018-professional/6979946135.html,"Metro New York, Long Island",Per Project Quote,contract,"
        
    "
System/Network Administrator,https://newyork.craigslist.org/jsy/egr/d/fair-lawn-system-network-administrator/6979977805.html,Fair Lawn,Compensation is based on experience and knowledge.,contract,"
        
Job Description:
The IT Network/System Admin Engineer provides overall infrastructure support and network management by assisting with configuring and supporting all network switches, Servers, Clients (Desktops) and SANs. This position will be focused on all of the new construction and handle identification of IT requirements: New IT equipment, configurations, troubleshooting and testing of hardware and software implementations.

Duties:

• Provide support for client computing hardware, including but not limited to the hard drive, memory, and peripheral connections.
• Oversee setup and configure workstations to be used in diverse environments, adhering to security requirements and organizational requirements (A/D).
• Provide assistance to engineers (remote/onsite) for the general operation of standard supported software.
• Consult with engineers and team members to provide hardware and software configuration and testing.
• Ensures database applications and interfaces are available via periodic health checks.
• Monitor, configure, support, and troubleshoot desktop and server-based applications on a local and remote level throughout the enterprise.
• Assist in Factory Acceptance Testing and test case execution process.    "
Junior Architect,https://newyork.craigslist.org/stn/egr/d/staten-island-junior-architect/6979990779.html,Staten Island,Salary commensurate with experience,full-time,"
        
Established, award winning, multidisciplinary Architectural firm looking for a Junior Architect to become part of our project team.
Candidate must have;
-Minimum of 3 years practical experience 
-Knowledge of NYC Building and Energy Codes
-Working Knowledge of AutoCad
-Strong communication skills
-Ability to work as part of design team    "
HANDYMAN & PORTERS NEEDED IN STATEN ISLAND,https://newyork.craigslist.org/stn/egr/d/staten-island-handyman-porters-needed/6979995190.html,,Highly Competitive!,full-time,"
        
    "
Structural Engineer,https://newyork.craigslist.org/que/egr/d/flushing-structural-engineer/6980527453.html,"Queens, NY",The salary is based on level of experience.,full-time,"
        
Job Description:

We are currently seeking structural engineers at multiple levels to join our team. As a structural engineer, you will work with other team members in our highly collaborative environment to assure that designs are developed in accordance with appropriate codes and standards, quality control objectives are achieved, and project goals are met within the schedule and budget. This is an outstanding opportunity for a structural engineer to work on a variety of high-profile projects throughout the region. 

Duties and Responsibilities:

- Coordinate with architects, contractors, owners, and other engineers from the initial planning stages through final construction.
- Determine design criteria using relevant codes and standards.
- Analyze and/or prepare models and calculations for various structural elements and systems by using various software and/or hand calculations.
- Develop contract documents, including construction drawings and technical specifications
- Produce schematic and detailed designs and evaluation of planning and concept alternatives
- Review shop drawings, RFI's.
- Perform field inspections and write inspection reports.

Skills and Qualifications:

- Familiar with latest version of AutoCAD, Revit, ETABS, SAP2000, SAFE, RAM, Excel.
- Excellent verbal and written communication skills
- Ability to effectively work independently and collaboratively in a team environment
- Must be eligible to work in the United States

Entry Level Candidates:
- Bachelor’s degree in Civil or Structural Engineering.

Intermediate Level Candidates:
- Master’s degree in Civil or Structural Engineering.
- 3+ years of related work experience in concrete or steel framing building structural design, support-of-excavation and foundation system design, steel or concrete rebar shop drawing design, construction support design and field inspection.

Advance Level Candidates:
- Master’s degree in Civil or Structural Engineering.
- 8+ years of related work experience in concrete or steel framing building structural design, support-of-excavation and foundation system design, steel or concrete rebar shop drawing design, construction support design and field inspection.
- NYS PE License



    "
